No Cuenca;Nombre de la cuenca;R H;Nombre de la Region Hidrologica;Disponibilidad media de agua superficial por cuenca Mm3;;;;;;
1;Tijuana;1;Baja California Noroeste;7.492;;;;;;
2;Descanso-Los Médanos;1;Baja California Noroeste;10.586;;;;;;
3;Guadalupe;1;Baja California Noroeste;7.685;;;;;;
4;Ensenada-El Gallo;1;Baja California Noroeste;10.779;;;;;;
5;San Carlos;1;Baja California Noroeste;13.766;;;;;;
6;Maneadero-Las Ánimas;1;Baja California Noroeste;17.385;;;;;;
7;Santo Tomás;1;Baja California Noroeste;14.032;;;;;;
8;San Vicente;1;Baja California Noroeste;28.312;;;;;;
9;Los Cochis-El Salado;1;Baja California Noroeste;22.054;;;;;;
10;San Rafael;1;Baja California Noroeste;11.895;;;;;;
11;San Telmo;1;Baja California Noroeste;5.356;;;;;;
12;Santo Domingo;1;Baja California Noroeste;4.636;;;;;;
13;San Quintín;1;Baja California Noroeste;6.456;;;;;;
14;San Simón;1;Baja California Noroeste;10.177;;;;;;
15;El Socorro;1;Baja California Noroeste;5.452;;;;;;
16;El Rosario;1;Baja California Noroeste;24.183;;;;;;
17;Santa Catarina;2;Baja California Centro-Oeste;26.651;;;;;;
18;La Bocana;2;Baja California Centro-Oeste;16.777;;;;;;
19;Jaraguay;2;Baja California Centro-Oeste;4.666;;;;;;
20;San José;2;Baja California Centro-Oeste;4.445;;;;;;
21;Chapala;2;Baja California Centro-Oeste;5.660;;;;;;
22;Boca del Carrizo;2;Baja California Centro-Oeste;8.395;;;;;;
23;San Andrés;2;Baja California Centro-Oeste;11.303;;;;;;
24;Santo Dominguito;2;Baja California Centro-Oeste;2.939;;;;;;
25;Rosarito;2;Baja California Centro-Oeste;5.048;;;;;;
26;San Miguel;2;Baja California Centro-Oeste;3.225;;;;;;
27;Paraíso;2;Baja California Centro-Oeste;5.637;;;;;;
28;San Luis;2;Baja California Centro-Oeste;10.436;;;;;;
29;El Arco;2;Baja California Centro-Oeste;4.934;;;;;;
30;Vizcaíno;2;Baja California Centro-Oeste;28.503;;;;;;
