Año,AcumuladoalMes,Cve_Estado,Estado,SectorAgricola_atendidosFed,SectorAgricola_colocadosFed,SectorIndustrialydeServicios_atendidosFed,SectorIndustrialydeServicios_colocadosFed,SectorAgricola_atendidosEst,SectorAgricola_colocadosEst,SectorIndustrialydeServicios_atendidosEst,SectorIndustrialydeServicios_colocadosEst
2019,05,01,Aguascalientes,0 ,0 ,,,0 ,0 ,,
2019,05,02,Baja California,240 ,240 ,,,0 ,0 ,,
2019,05,03,Baja California Sur,151 ,0 ,,,49 ,0 ,,
2019,05,04,Campeche,68 ,68 ,,,0 ,0 ,,
2019,05,05,Coahuila de Zaragoza,0 ,0 ,,,0 ,0 ,,
2019,05,06,Colima,534 ,534 ,,,0 ,0 ,,
2019,05,07,Chiapas,790 ,790 ,,,0 ,0 ,,
2019,05,08,Chihuahua,701 ,409 ,,,0 ,0 ,,
2019,05,09,Ciudad de Mexico,0 ,0 ,,,0 ,0 ,,
2019,05,10,Durango,240 ,240 ,,,150 ,150 ,,
2019,05,11,Guanajuato,75 ,75 ,,,0 ,0 ,,
2019,05,12,Guerrero,"1,064 ","1,064 ",,,0 ,0 ,,
2019,05,13,Hidalgo,960 ,960 ,,,0 ,0 ,,
2019,05,14,Jalisco,"1,539 ",696 ,,,0 ,0 ,,
2019,05,15,Estado de Mexico,254 ,254 ,,,0 ,0 ,,
2019,05,16,Michoacan de Ocampo,295 ,232 ,,,0 ,0 ,,
2019,05,17,Morelos,"1,490 ",793 ,,,0 ,0 ,,
2019,05,18,Nayarit,923 ,923 ,,,0 ,0 ,,
2019,05,19,Nuevo Leon,0 ,0 ,,,0 ,0 ,,
2019,05,20,Oaxaca,405 ,405 ,,,0 ,0 ,,
2019,05,21,Puebla,"2,065 ","2,065 ",,,0 ,0 ,,
2019,05,22,Queretaro,0 ,0 ,,,0 ,0 ,,
2019,05,23,Quintana Roo,32 ,0 ,,,0 ,0 ,,
2019,05,24,San Luis Potosi,918 ,746 ,,,0 ,0 ,,
2019,05,25,Sinaloa,"1,561 ",795 ,,,0 ,0 ,,
2019,05,26,Sonora,"1,117 ",0 ,,,0 ,0 ,,
2019,05,27,Tabasco,231 ,231 ,,,0 ,0 ,,
2019,05,28,Tamaulipas,414 ,414 ,,,0 ,0 ,,
2019,05,29,Tlaxcala,481 ,481 ,,,0 ,0 ,,
2019,05,30,Veracruz de Ignacio de la Llave,"2,132 ","2,132 ",,,0 ,0 ,,
2019,05,31,Yucatan,0 ,0 ,,,0 ,0 ,,
2019,05,32,Zacatecas,480 ,480 ,,,0 ,0 ,,
2018,12,01,Aguascalientes,0 ,0 ,,,0 ,0 ,,
2018,12,02,Baja California,"1,257 ",558 ,,,0 ,0 ,,
2018,12,03,Baja California Sur,464 ,0 ,,,468 ,0 ,,
2018,12,04,Campeche,191 ,191 ,,,0 ,0 ,,
2018,12,05,Coahuila de Zaragoza,310 ,0 ,,,92 ,0 ,,
2018,12,06,Colima,"1,094 ",627 ,,,0 ,0 ,,
2018,12,07,Chiapas,"2,310 ","2,310 ",,,0 ,0 ,,
2018,12,08,Chihuahua,"1,220 ",890 ,,,213 ,69 ,,
2018,12,09,Ciudad de Mexico,0 ,0 ,,,0 ,0 ,,
2018,12,10,Durango,191 ,191 ,,,546 ,546 ,,
2018,12,11,Guanajuato,464 ,454 ,,,0 ,0 ,,
2018,12,12,Guerrero,"2,497 ","2,497 ",,,0 ,0 ,,
2018,12,13,Hidalgo,"1,840 ","1,840 ",,,258 ,258 ,,
2018,12,14,Jalisco,"2,112 ",491 ,,,0 ,0 ,,
2018,12,15,Estado de Mexico,271 ,271 ,,,54 ,54 ,,
2018,12,16,Michoacan de Ocampo,"1,039 ",976 ,,,0 ,0 ,,
2018,12,17,Morelos,"2,245 ","1,528 ",,,250 ,96 ,,
2018,12,18,Nayarit,"1,184 ","1,184 ",,,0 ,0 ,,
2018,12,19,Nuevo Leon,0 ,0 ,,,0 ,0 ,,
2018,12,20,Oaxaca,"1,594 ","1,594 ",,,0 ,0 ,,
2018,12,21,Puebla,"4,428 ","4,428 ",,,0 ,0 ,,
2018,12,22,Queretaro,0 ,0 ,,,0 ,0 ,,
2018,12,23,Quintana Roo,23 ,0 ,,,0 ,0 ,,
2018,12,24,San Luis Potosi,"1,222 ",926 ,,,0 ,0 ,,
2018,12,25,Sinaloa,"3,538 ","2,158 ",,,752 ,752 ,,
2018,12,26,Sonora,"2,969 ",0 ,,,0 ,0 ,,
2018,12,27,Tabasco,450 ,450 ,,,0 ,0 ,,
2018,12,28,Tamaulipas,102 ,102 ,,,189 ,189 ,,
2018,12,29,Tlaxcala,685 ,685 ,,,48 ,48 ,,
2018,12,30,Veracruz de Ignacio de la Llave,"4,240 ","4,240 ",,,0 ,0 ,,
2018,12,31,Yucatan,0 ,0 ,,,0 ,0 ,,
2018,12,32,Zacatecas,248 ,248 ,,,241 ,241 ,,
2017,12,01,Aguascalientes,0 ,0 ,,,0 ,0 ,,
2017,12,02,Baja California,402 ,157 ,,,0 ,0 ,,
2017,12,03,Baja California Sur,218 ,0 ,,,639 ,34 ,,
2017,12,04,Campeche,50 ,50 ,,,0 ,0 ,,
2017,12,05,Coahuila de Zaragoza,255 ,0 ,,,49 ,0 ,,
2017,12,06,Colima,428 ,255 ,,,0 ,0 ,,
2017,12,07,Chiapas,"1,760 ","1,760 ",,,0 ,0 ,,
2017,12,08,Chihuahua,411 ,411 ,,,16 ,0 ,,
2017,12,09,Ciudad de Mexico,0 ,0 ,,,0 ,0 ,,
2017,12,10,Durango,124 ,92 ,,,165 ,165 ,,
2017,12,11,Guanajuato,287 ,287 ,,,0 ,0 ,,
2017,12,12,Guerrero,"1,895 ","1,895 ",,,0 ,0 ,,
2017,12,13,Hidalgo,"1,746 ","1,746 ",,,184 ,184 ,,
2017,12,14,Jalisco,"1,192 ",250 ,,,0 ,0 ,,
2017,12,15,Estado de Mexico,196 ,196 ,,,0 ,0 ,,
2017,12,16,Michoacan de Ocampo,758 ,693 ,,,0 ,0 ,,
2017,12,17,Morelos,"1,415 ","1,066 ",,,"1,070 ","1,070 ",,
