Entidad federativa,Año,Trimestre, Tasa de desocupacion,Población Económicamente Activa (PEA). Total,Población desocupada. Total
Nacional,2010,4,5.3,48478718,2566784
Aguascalientes,2010,4,6.9,491955,34078
Baja California,2010,4,5.4,1411439,75862
Baja California Sur,2010,4,5.8,308752,17802
Campeche,2010,4,2.7,372630,9963
Coahuila de Zaragoza,2010,4,6.9,1176391,81619
Colima,2010,4,4.4,315677,13912
Chiapas,2010,4,2.8,1821266,51438
Chihuahua,2010,4,5.7,1348916,76889
Ciudad de México,2010,4,6.6,4205116,278105
Durango,2010,4,5.8,653642,37655
Guanajuato,2010,4,5.8,2279071,131088
Guerrero,2010,4,2.1,1422289,29978
Hidalgo,2010,4,4.0,1092969,43758
Jalisco,2010,4,5.8,3398249,196324
México,2010,4,6.7,6627998,445051
Michoacán de Ocampo,2010,4,3.6,1730846,62824
Morelos,2010,4,3.9,784089,30268
Nayarit,2010,4,3.8,513252,19658
Nuevo León,2010,4,5.8,2228480,128997
Oaxaca,2010,4,2.6,1599129,41802
Puebla,2010,4,4.2,2435395,102565
Querétaro,2010,4,7.1,732591,52171
Quintana Roo,2010,4,5.3,692620,36550
San Luis Potosí,2010,4,4.4,1058129,46217
Sinaloa,2010,4,4.1,1254281,51504
Sonora,2010,4,7.6,1148109,87332
Tabasco,2010,4,8.2,904727,74195
Tamaulipas,2010,4,7.6,1443793,110111
Tlaxcala,2010,4,6.5,484627,31414
Veracruz de Ignacio de la Llave,2010,4,3.7,3023168,112933
Yucatán,2010,4,2.6,904821,23075
Zacatecas,2010,4,5.2,614301,31646
Nacional,2011,4,4.9,50772496,2465029
Aguascalientes,2011,4,6.3,515998,32594
Baja California,2011,4,7.1,1507177,106729
Baja California Sur,2011,4,4.5,338791,15237
Campeche,2011,4,2.7,383579,10535
Coahuila de Zaragoza,2011,4,5.6,1272864,71358
Colima,2011,4,4.3,331644,14313
Chiapas,2011,4,2.2,1912096,42914
Chihuahua,2011,4,6.0,1437635,86607
Ciudad de México,2011,4,6.0,4393420,265105
Durango,2011,4,5.4,707317,38305
Guanajuato,2011,4,5.1,2397360,122727
